,line,title,image_url,scraped_at,image_name,next_bid_auction,price_buy_now,ends_on,time_remaining,seconds_remaining,sale_type
226,starwars,LEGO STAR WARS - Minifigur - Darth Maul,https://img.ricardostatic.ch/t_1800x1350/pl/1143338248/1/1/,2020-12-28 09:53:12,226_legosets.jpg,,11.5,2020-12-28 10:08:00,0 days 00:14:48,888,buy_now
227,starwars,LEGO Star Wars Senate Commando Troopers,https://img.ricardostatic.ch/t_1000x750/pl/1144819376/5/1/lego-star-wars-senate-commando-troopers.jpg,2020-12-28 09:53:15,227_legosets.jpg,15.0,25.0,2021-01-03 14:29:00,6 days 04:35:45,16545,both
228,starwars,LEGO Star Wars Droid Tri-Fighter,https://img.ricardostatic.ch/t_1800x1350/pl/1144947912/4/1/,2020-12-28 09:53:19,228_legosets.jpg,40.0,50.0,2021-01-03 14:19:00,6 days 04:25:41,15941,both
229,starwars,Lego Anakin's Jedi Interceptor 9494,https://img.ricardostatic.ch/t_1000x750/pl/1149357214/0/1/lego-anakins-jedi-interceptor-9494.jpg,2020-12-28 09:53:23,229_legosets.jpg,39.0,59.0,2021-01-01 00:19:00,3 days 14:25:37,51937,both
230,starwars,Lego StarWars Figuren 23 Stück,https://img.ricardostatic.ch/t_1000x750/pl/1149687212/0/1/lego-starwars-figuren-23-stuck.jpg,2020-12-28 09:53:27,230_legosets.jpg,99.0,,2021-01-03 00:49:00,5 days 14:55:33,53733,auction
231,starwars,LEGO Obi Wan Kenobi,https://img.ricardostatic.ch/t_1800x1350/pl/1147802658/0/1/,2020-12-28 09:53:31,231_legosets.jpg,4.0,,2020-12-30 11:43:00,2 days 01:49:29,6569,auction
232,starwars,Lego Star Wars Kylo Ren's Shuttle,https://img.ricardostatic.ch/t_1800x1350/pl/1146216070/0/1/,2020-12-28 09:53:34,232_legosets.jpg,65.0,80.0,2020-12-28 20:04:00,0 days 10:10:26,36626,both
233,starwars,Lego Star Wars 8039 Venator Republic,https://img.ricardostatic.ch/t_1800x1350/pl/1136331032/4/1/,2020-12-28 09:53:38,233_legosets.jpg,280.0,319.0,2021-01-05 19:29:00,8 days 09:35:22,34522,both
234,starwars,Lego Star Wars Figur Imperial Officer,https://img.ricardostatic.ch/t_1000x750/pl/1149622772/2/1/lego-star-wars-figur-imperial-officer.jpg,2020-12-28 09:53:42,234_legosets.jpg,7.0,,2020-12-29 19:40:00,1 days 09:46:18,35178,auction
235,starwars,LEGO Bespin Guard,https://img.ricardostatic.ch/t_1800x1350/pl/1147791340/0/1/,2020-12-28 09:53:46,235_legosets.jpg,4.0,,2020-12-30 10:20:00,2 days 00:26:14,1574,auction
236,starwars,Set 75005 Rancor Pit,https://img.ricardostatic.ch/t_1000x750/pl/1146814560/3/1/set-75005-rancor-pit.jpg,2020-12-28 09:53:50,236_legosets.jpg,130.0,,2020-12-28 20:18:00,0 days 10:24:10,37450,auction
237,starwars,LEGO Star Wars 75087 - Anakin's Custom,https://img.ricardostatic.ch/t_1800x1350/pl/1112253158/6/1/,2020-12-28 09:53:53,237_legosets.jpg,35.0,50.0,2021-01-03 17:32:00,6 days 07:38:07,27487,both
238,starwars,LEGO Star Wars Minifigur - Kithaba,https://img.ricardostatic.ch/t_1000x750/pl/1147476418/1/1/lego-star-wars-minifigur-kithaba.jpg,2020-12-28 09:53:57,238_legosets.jpg,4.0,,2020-12-28 20:57:00,0 days 11:03:03,39783,auction
239,starwars,LEGO Star Wars 7675 - AT-TE Rex,https://img.ricardostatic.ch/t_1800x1350/pl/1140138540/2/1/,2020-12-28 09:54:01,239_legosets.jpg,209.0,249.0,2021-01-05 11:31:00,8 days 01:36:59,5819,both
